atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2016-10-19,2016-10-21,0,54.85,54.8,54.85,54.25,55.35,3197619,175444977,54.86738007,54.85,54.8,54.85,54.25,55.35,3197619,54.86738,-0.00363
2016-10-18,2016-10-20,0,55.05,55,55.05,54.3,55.25,3616171,198776644,54.96881757,55.05,55,55.05,54.3,55.25,3616171,54.96882,0.01381
2016-10-17,2016-10-19,0,54.3,54.3,54.35,54.2,55.3,2467523,134275302,54.41704171,54.3,54.3,54.35,54.2,55.3,2467523,54.41704,-0.01362
2016-10-14,2016-10-18,0,55.05,55.05,55.1,54.7,55.45,2817727,155141333,55.05903624,55.05,55.05,55.1,54.7,55.45,2817727,55.05904,0.00732
2016-10-13,2016-10-17,0,54.65,54.55,54.65,54.15,55,4040227,220264692,54.51790011,54.65,54.55,54.65,54.15,55,4040227,54.5179,-0.00183
2016-10-12,2016-10-14,0,54.75,54.75,54.8,54.35,54.9,4136125,226169511,54.68149802,54.75,54.75,54.8,54.35,54.9,4136125,54.6815,-0.00635
2016-10-11,2016-10-13,0,55.1,55.1,55.15,54.5,57.2,9604434,531664107,55.35611021,55.1,55.1,55.15,54.5,57.2,9604434,55.35611,-0.02993
2016-10-07,2016-10-12,0,56.8,56.6,56.8,56.05,57.1,4339469,245457052,56.56384502,56.8,56.6,56.8,56.05,57.1,4339469,56.56385,0.00531
2016-10-06,2016-10-11,0,56.5,56.45,56.5,56.35,57.1,3784104,214153608,56.59294988,56.5,56.45,56.5,56.35,57.1,3784104,56.59295,-0.00441
2016-10-05,2016-10-07,0,56.75,56.75,56.85,56.3,57.25,3106786,176403485,56.78005662,56.75,56.75,56.85,56.3,57.25,3106786,56.78006,-0.00176
2016-10-04,2016-10-06,0,56.85,56.85,56.9,56.5,57.4,3321955,188926950,56.87221832,56.85,56.85,56.9,56.5,57.4,3321955,56.87222,-0.00438
2016-10-03,2016-10-05,0,57.1,57.05,57.1,56.7,57.5,4169784,237578476,56.97620692,57.1,57.05,57.1,56.7,57.5,4169784,56.97621,0.00883
2016-09-30,2016-10-04,0,56.6,56.55,56.6,56,56.65,6364642,358560610,56.33633596,56.6,56.55,56.6,56,56.65,6364642,56.33634,-0.01308
2016-09-29,2016-10-03,0,57.35,57.35,57.4,56.85,57.55,3428322,196007447,57.17299804,57.35,57.35,57.4,56.85,57.55,3428322,57.173,0.00438
2016-09-28,2016-09-30,0,57.1,57.1,57.15,56.1,57.1,3369733,191147765,56.72489927,57.1,57.1,57.15,56.1,57.1,3369733,56.7249,0.00794
2016-09-27,2016-09-29,0,56.65,56.65,56.75,56.3,57.2,4808650,273516801,56.88016408,56.65,56.65,56.75,56.3,57.2,4808650,56.88016,0.00443
2016-09-26,2016-09-28,0,56.4,56.35,56.4,56,56.75,3447165,194649335,56.46649783,56.4,56.35,56.4,56,56.75,3447165,56.4665,-0.01226
2016-09-23,2016-09-27,0,57.1,57.05,57.1,56.8,57.55,4521415,258777533,57.23374939,57.1,57.05,57.1,56.8,57.55,4521415,57.23375,0.00351
2016-09-22,2016-09-26,0,56.9,56.9,57.05,56.65,57.8,5929944,339094926,57.18349549,56.9,56.9,57.05,56.65,57.8,5929944,57.1835,0.01517
2016-09-21,2016-09-23,0,56.05,56,56.05,55.8,56.65,5421007,304670027,56.20174019,56.05,56,56.05,55.8,56.65,5421007,56.20174,-0.00267
2016-09-20,2016-09-22,0,56.2,56.15,56.2,55.85,56.55,5425361,304615172,56.14652592,56.2,56.15,56.2,55.85,56.55,5425361,56.14653,-0.01317
2016-09-19,2016-09-21,0,56.95,56.75,56.95,56.1,57,4550111,257578936,56.60937414,56.95,56.75,56.95,56.1,57,4550111,56.60937,0.01155
2016-09-15,2016-09-20,0,56.3,56.3,56.45,55.9,56.85,7007357,395456830,56.43452018,56.3,56.3,56.45,55.9,56.85,7007357,56.43452,0.0135
2016-09-14,2016-09-19,0,55.55,55.55,55.7,55.3,56.35,4617048,257283999,55.72478324,55.55,55.55,55.7,55.3,56.35,4617048,55.72478,-0.0009
2016-09-13,2016-09-15,0,55.6,55.6,55.75,55.6,57.35,8189972,461829691,56.38965445,55.6,55.6,55.75,55.6,57.35,8189972,56.38965,-0.01156
2016-09-12,2016-09-14,0,56.25,56.2,56.25,56.05,57.7,8985764,511211576,56.89127558,56.25,56.2,56.25,56.05,57.7,8985764,56.89128,-0.03764
2016-09-09,2016-09-13,0,58.45,58.4,58.45,56.75,59.75,10544572,616241554,58.44159004,58.45,58.4,58.45,56.75,59.75,10544572,58.44159,0.0215
2016-09-08,2016-09-12,0,57.6,57.55,57.6,56,57.7,8531434,488174324,57.22066466,57.22,57.17033,57.22,55.63056,57.31934,8588092,56.84317,0.01587
2016-09-07,2016-09-09,0,56.7,56.7,56.75,55.8,56.9,7021156,396488590,56.47055699,56.32594,56.32594,56.37561,55.43187,56.52462,7067784,56.09801,0.008
2016-09-06,2016-09-08,0,56.25,56.25,56.3,55.65,56.65,6581441,369787787,56.18644716,55.87891,55.87891,55.92858,55.28287,56.27627,6625149,55.81577,0.00446
2016-09-05,2016-09-07,0,56,56,56.05,55.35,56.35,10568943,589076657,55.73657243,55.63056,55.63056,55.68022,54.98484,55.97825,10639132,55.36887,0.02283
2016-09-02,2016-09-06,0,54.75,54.7,54.75,54.1,54.85,4962360,270555664,54.52157119,54.3888,54.33913,54.3888,53.74309,54.48814,4995315,54.16188,0.00736
2016-09-01,2016-09-05,0,54.35,54.3,54.4,53.75,54.55,4412252,239784686,54.34519289,53.99144,53.94177,54.04111,53.3954,54.19012,4441554,53.98667,-0.00275
2016-08-31,2016-09-02,0,54.5,54.4,54.5,54.2,54.8,5034720,274359153,54.49342823,54.14045,54.04111,54.14045,53.84243,54.43847,5068156,54.13392,0
2016-08-30,2016-09-01,0,54.5,54.5,54.6,54.35,54.95,4810753,263101209,54.69023436,54.14045,54.14045,54.23979,53.99144,54.58748,4842701,54.32943,0
2016-08-29,2016-08-31,0,54.5,54.4,54.5,54.3,55.3,2660108,144925297,54.48098235,54.14045,54.04111,54.14045,53.94177,54.93517,2677774,54.12156,-0.01179
2016-08-26,2016-08-30,0,55.15,55.15,55.25,54.6,55.45,4541231,250033218,55.05846719,54.78616,54.78616,54.8855,54.23979,55.08418,4571389,54.69523,0.00547
2016-08-25,2016-08-29,0,54.85,54.8,54.85,54.1,54.95,5733093,312513196,54.51040058,54.48814,54.43847,54.48814,53.74309,54.58748,5771167,54.15078,0.00274
2016-08-24,2016-08-26,0,54.7,54.65,54.7,54.2,56,6471422,354266747,54.74326153,54.33913,54.28946,54.33913,53.84243,55.63056,6514399,54.38211,-0.02147
2016-08-23,2016-08-25,0,55.9,55.9,55.95,55.8,56.4,5495305,307998618,56.04759299,55.53122,55.53122,55.58089,55.43187,56.02792,5531800,55.67783,0.00721
2016-08-22,2016-08-24,0,55.5,55.4,55.5,54.9,55.95,4683635,259478980,55.40119587,55.13385,55.03452,55.13385,54.53781,55.58089,4714739,55.0357,0.00817
2016-08-19,2016-08-23,0,55.05,55,55.05,54.65,55.45,6742291,371056647,55.03420825,54.68682,54.63715,54.68682,54.28946,55.08418,6787067,54.67114,0.01195
2016-08-18,2016-08-22,0,54.4,54.4,54.55,53.85,55.2,4643731,253417933,54.57205273,54.04111,54.04111,54.19012,53.49474,54.83583,4674570,54.21203,0.00741
2016-08-17,2016-08-19,0,54,54,54.1,54,55,7673288,416965737,54.33990448,53.64375,53.64375,53.74309,53.64375,54.63715,7724247,53.98141,-0.01818
2016-08-16,2016-08-18,0,55,55,55.1,54.75,55.5,5532263,305086631,55.14680539,54.63715,54.63715,54.73649,54.3888,55.13385,5569003,54.78299,0.00365
2016-08-15,2016-08-17,0,54.8,54.8,54.85,54.8,55.8,10108661,557264588,55.12743854,54.43847,54.43847,54.48814,54.43847,55.43187,10175793,54.76375,-0.00091
2016-08-12,2016-08-16,0,54.85,54.85,54.9,54.65,57,15224411,842248037,55.32220833,54.48814,54.48814,54.53781,54.28946,56.62396,15325517,54.95724,-0.03856
2016-08-11,2016-08-15,0,57.05,57.05,57.15,56.8,58.15,5512509,316894692,57.48647159,56.67363,56.67363,56.77297,56.42528,57.76637,5549118,57.10722,-0.01298
2016-08-10,2016-08-12,0,57.8,57.75,57.8,57.25,58,8725513,503023037,57.64968054,57.41868,57.36901,57.41868,56.87231,57.61736,8783459,57.26935,0.01582
2016-08-09,2016-08-11,0,56.9,56.85,56.9,56.2,57.1,3729793,211863291,56.80296226,56.52462,56.47495,56.52462,55.82924,56.7233,3754563,56.42822,0.00708
2016-08-08,2016-08-10,0,56.5,56.5,56.55,54.75,56.8,5791058,324899918,56.10372371,56.12726,56.12726,56.17693,54.3888,56.42528,5829517,55.73359,0.02541
2016-08-05,2016-08-09,0,55.1,55.05,55.1,54.65,55.1,7050360,386907073,54.87763362,54.73649,54.68682,54.73649,54.28946,54.73649,7097182,54.51559,0.01287
2016-08-04,2016-08-08,0,54.4,54.3,54.4,54.05,54.9,3030744,164499642,54.27698347,54.04111,53.94177,54.04111,53.69342,54.53781,3050871,53.91891,0.00928
2016-08-03,2016-08-05,0,53.9,53.9,54,53.8,55.1,6257563,340703397,54.44665871,53.54441,53.54441,53.64375,53.44507,54.73649,6299120,54.08746,-0.03578
2016-08-01,2016-08-03,0,55.9,55.85,55.9,55.6,56.65,4406271,246703652,55.98921446,55.53122,55.48154,55.53122,55.23319,56.27627,4435533,55.61984,0.00903
2016-07-29,2016-08-02,0,55.4,55.3,55.4,55,56.55,5844926,324141777,55.45695138,55.03452,54.93517,55.03452,54.63715,56.17693,5883742,55.09109,-0.01947
2016-07-28,2016-08-01,0,56.5,56.35,56.5,56,56.9,6832280,386158582,56.51972431,56.12726,55.97825,56.12726,55.63056,56.52462,6877653,56.14685,0.00534
2016-07-27,2016-07-29,0,56.2,56,56.2,55.25,56.35,7785704,435150852,55.89100896,55.82924,55.63056,55.82924,54.8855,55.97825,7837409,55.52228,0.00988
2016-07-26,2016-07-28,0,55.65,55.5,55.65,54.65,55.85,5786723,321385778,55.53847627,55.28287,55.13385,55.28287,54.28946,55.48154,5825153,55.17208,0.00724
2016-07-25,2016-07-27,0,55.25,55.15,55.25,54.8,55.85,5373288,296132369,55.11194803,54.8855,54.78616,54.8855,54.43847,55.48154,5408972,54.74836,0.01005
2016-07-22,2016-07-26,0,54.7,54.65,54.7,54.1,54.85,9326637,507732216,54.43893828,54.33913,54.28946,54.33913,53.74309,54.48814,9388576,54.07979,-0.00091
2016-07-21,2016-07-25,0,54.75,54.8,54.9,53.5,55.25,8390466,459876281,54.80938496,54.3888,54.43847,54.53781,53.14705,54.8855,8446187,54.4478,0.02146
2016-07-20,2016-07-22,0,53.6,53.55,53.7,52.35,53.7,6352336,338094319,53.22362026,53.24639,53.19672,53.34573,52.00463,53.34573,6394522,52.87249,0.01611
2016-07-19,2016-07-21,0,52.75,52.7,52.8,52.25,53,3522684,185529545,52.66709844,52.402,52.35233,52.45167,51.9053,52.65035,3546078,52.31964,-0.00846
2016-07-18,2016-07-20,0,53.2,53.15,53.2,52.8,53.75,4038006,214927159,53.22606232,52.84903,52.79936,52.84903,52.45167,53.3954,4064823,52.87492,0.01237
2016-07-15,2016-07-19,0,52.55,52.4,52.6,51.55,52.8,5498954,287616973,52.30394235,52.20332,52.05431,52.25298,51.20991,52.45167,5535473,51.95888,0.00961
2016-07-14,2016-07-18,0,52.05,52,52.1,50.95,52.2,4451103,229964785,51.6646739,51.70661,51.65694,51.75628,50.61387,51.85563,4480663,51.32383,0.01462
2016-07-13,2016-07-15,0,51.3,51.3,51.4,51.05,52.15,4753324,244400951,51.41685082,50.96156,50.96156,51.0609,50.71321,51.80596,4784891,51.07764,-0.00388
2016-07-12,2016-07-14,0,51.5,51.45,51.55,50.3,51.55,9368906,475923796,50.79822511,51.16024,51.11057,51.20991,49.96816,51.20991,9431125,50.4631,0.03
2016-07-11,2016-07-13,0,50,49.9,50,49.7,50.6,4024342,201589526,50.09254333,49.67014,49.5708,49.67014,49.37212,50.26618,4051068,49.76207,0.01523
2016-07-08,2016-07-12,0,49.25,49.25,49.3,48.8,49.55,2640998,129845512,49.16532008,48.92509,48.92509,48.97476,48.47805,49.22311,2658537,48.84097,-0.01303
2016-07-07,2016-07-11,0,49.9,49.85,50,49.55,50.4,4518558,225967713,50.008811,49.5708,49.52113,49.67014,49.22311,50.0675,4548566,49.67889,0.01629
2016-07-06,2016-07-08,0,49.1,49,49.15,48.4,49.4,4019164,196308451,48.84310543,48.77607,48.67674,48.82575,48.0807,49.0741,4045855,48.52088,-0.00708
2016-07-05,2016-07-07,0,49.45,49.5,49.6,49.35,50.3,4607741,229892109,49.89258489,49.12377,49.17344,49.27278,49.02443,49.96816,4638341,49.56343,-0.01982
2016-07-04,2016-07-06,0,50.45,50.3,50.4,48.6,50.95,11656891,583152458,50.02641425,50.11717,49.96816,50.0675,48.27937,50.61387,11734305,49.69638,0.04236
2016-06-30,2016-07-05,0,48.4,48.35,48.5,47.85,48.55,8206611,396917852,48.36562279,48.0807,48.03102,48.18003,47.53432,48.2297,8261111,48.04654,0.01574
2016-06-29,2016-07-04,0,47.65,47.55,47.7,46.1,47.8,5197579,246386384,47.40406716,47.33564,47.2363,47.38531,45.79587,47.48465,5232096,47.09133,0.03474
2016-06-28,2016-06-30,0,46.05,46.05,46.1,44.75,46.15,5884578,268887947,45.6936669,45.7462,45.7462,45.79587,44.45477,45.84554,5923658,45.39222,0.00109
2016-06-27,2016-06-29,0,46,45.9,46,45.7,46.5,8374677,385467283,46.0277194,45.69653,45.59719,45.69653,45.39851,46.19323,8430294,45.72406,-0.01604
2016-06-24,2016-06-28,0,46.75,46.7,46.85,45.5,48.3,14418993,668952095,46.39381509,46.44158,46.39191,46.54092,45.19983,47.98135,14514750,46.08774,-0.03209
2016-06-23,2016-06-27,0,48.3,48.3,48.35,47.95,48.45,3951052,190358401,48.17916874,47.98135,47.98135,48.03102,47.63366,48.13037,3977291,47.86132,0.0073
2016-06-22,2016-06-24,0,47.95,48,48.1,47.6,48.45,3608349,172981056,47.93911454,47.63366,47.68333,47.78267,47.28597,48.13037,3632312,47.62285,-0.00725
2016-06-21,2016-06-23,0,48.3,48.15,48.25,47.45,48.45,3364709,161690792,48.05491114,47.98135,47.83235,47.93168,47.13696,48.13037,3387054,47.73788,0.0094
2016-06-20,2016-06-22,0,47.85,47.75,47.85,47.45,48,4733146,226011492,47.75079662,47.53432,47.43498,47.53432,47.13696,47.68333,4764579,47.43577,0.02463
2016-06-17,2016-06-21,0,46.7,46.65,46.8,46.35,47,4464986,207868096,46.55515068,46.39191,46.34224,46.49125,46.04422,46.68993,4494638,46.24802,0.00755
2016-06-16,2016-06-20,0,46.35,46.25,46.4,45.9,46.7,4328877,200111770,46.22717855,46.04422,45.94488,46.09389,45.59719,46.39191,4357625,45.92221,-0.02112
2016-06-15,2016-06-17,0,47.35,47.3,47.4,46.45,47.75,2905755,137157400,47.20198365,47.03762,46.98795,47.08729,46.14356,47.43498,2925052,46.89058,-0.00105
2016-06-14,2016-06-16,0,47.4,47.25,47.45,47.2,48,2379880,113168084,47.55201271,47.08729,46.93828,47.13696,46.88861,47.68333,2395685,47.2383,-0.0042
2016-06-13,2016-06-15,0,47.6,47.55,47.7,47.25,47.95,6356252,302743942,47.62931709,47.28597,47.2363,47.38531,46.93828,47.63366,6398464,47.3151,-0.02658
2016-06-10,2016-06-14,0,48.9,48.85,48.95,48.8,49.9,7860785,386311107,49.14408765,48.5774,48.52772,48.62707,48.47805,49.5708,7912989,48.81987,-0.01112
2016-06-08,2016-06-13,0,49.45,49.4,49.6,49.4,50.4,6321718,313368883,49.57020908,49.12377,49.0741,49.27278,49.0741,50.0675,6363701,49.24318,-0.01885
2016-06-07,2016-06-10,0,50.4,50.45,50.6,49.95,51.5,5210290,263793162,50.6292667,50.0675,50.11717,50.26618,49.62047,51.16024,5244892,50.29525,0.00299
2016-06-06,2016-06-08,0,50.25,50.1,50.25,49.1,50.5,3425169,171839316,50.16958754,49.91849,49.76948,49.91849,48.77607,50.16684,3447916,49.83861,0.01927
2016-06-03,2016-06-07,0,49.3,49.1,49.3,48.85,49.5,5294739,260891163,49.27365881,48.97476,48.77607,48.97476,48.52772,49.17344,5329902,48.94859,0.00818
2016-06-02,2016-06-06,0,48.9,48.9,48.95,48.15,49.05,6785524,331023593,48.78379223,48.5774,48.5774,48.62707,47.83235,48.72641,6830587,48.46195,-0.00204
2016-06-01,2016-06-03,0,49,48.95,49,48.55,49.1,4580576,223829561,48.86493773,48.67674,48.62707,48.67674,48.2297,48.77607,4610996,48.54256,0.00719
2016-05-31,2016-06-02,0,48.65,48.45,48.6,48.45,49.1,8303032,405703502,48.86209062,48.32905,48.13037,48.27937,48.13037,48.77607,8358173,48.53974,0
2016-05-30,2016-06-01,0,48.65,48.55,48.65,47.65,49.15,4111437,200254269,48.70663688,48.32905,48.2297,48.32905,47.33564,48.82575,4138741,48.38531,0.00934
2016-05-27,2016-05-31,0,48.2,48.1,48.25,47.6,48.6,5436063,261205770,48.05054136,47.88201,47.78267,47.93168,47.28597,48.27937,5472164,47.73354,0.00208
2016-05-26,2016-05-30,0,48.1,48.05,48.1,47.15,48.25,4601936,219974704,47.80047006,47.78267,47.733,47.78267,46.83894,47.93168,4632498,47.48512,0.00839
2016-05-25,2016-05-27,0,47.7,47.7,47.8,47,48.2,11554702,552786044,47.84078759,47.38531,47.38531,47.48465,46.68993,47.88201,11631437,47.52517,0.03024
2016-05-24,2016-05-26,0,46.3,46.2,46.3,45.7,46.35,5633140,259428347,46.05394984,45.99455,45.89521,45.99455,45.39851,46.04422,5670550,45.75012,0.0232
2016-05-23,2016-05-25,0,45.25,45.3,45.35,44.65,45.95,5029429,227754436,45.28435256,44.95148,45.00115,45.05081,44.35544,45.64686,5062830,44.9856,-0.01309
2016-05-20,2016-05-24,0,45.85,45.75,45.85,44.2,46.25,6140295,280522030,45.68543205,45.54752,45.44818,45.54752,43.9084,45.94488,6181073,45.38404,0.0315
2016-05-19,2016-05-23,0,44.45,44.35,44.55,44.05,44.95,4019920,178773039,44.47179023,44.15675,44.05741,44.25609,43.75939,44.65346,4046616,44.1784,-0.00559
2016-05-18,2016-05-20,0,44.7,44.65,44.75,44.5,45.3,5444515,244708494,44.94587562,44.4051,44.35544,44.45477,44.20642,45.00115,5480672,44.64936,-0.01324
2016-05-17,2016-05-19,0,46.35,46.3,46.35,45.5,46.4,5902167,270665850,45.85872443,45.00114,44.9526,45.00114,44.17588,45.04969,6079077,44.52417,0.01422
2016-05-16,2016-05-18,0,45.7,45.65,45.7,45.4,45.95,3143529,143571723,45.6721484,44.37006,44.32152,44.37006,44.07879,44.61279,3237752,44.34302,0
2016-05-13,2016-05-17,0,45.7,45.65,45.7,45.15,46.35,8334078,379949330,45.58984569,44.37006,44.32152,44.37006,43.83607,45.00114,8583882,44.26311,-0.01509
2016-05-12,2016-05-16,0,46.4,46.35,46.45,46.35,46.85,4031345,188050164,46.64700342,45.04969,45.00114,45.09824,45.00114,45.48659,4152180,45.28951,-0.01382
2016-05-11,2016-05-13,0,47.05,47,47.05,47,48.2,5771260,273328802,47.36033414,45.68077,45.63223,45.68077,45.63223,46.79731,5944246,45.98208,-0.02183
2016-05-10,2016-05-12,0,48.1,48.05,48.1,47.6,48.95,6550266,315108153,48.10616134,46.70022,46.65167,46.70022,46.21477,47.52548,6746602,46.7062,-0.01029
2016-05-09,2016-05-11,0,48.6,48.6,48.7,48.25,49.15,3855196,187759111,48.70287036,47.18567,47.18567,47.28276,46.84585,47.71966,3970751,47.28554,0.00206
2016-05-06,2016-05-10,0,48.5,48.55,48.6,48.4,49.55,8058381,393337659,48.81100298,47.08858,47.13712,47.18567,46.99149,48.10802,8299921,47.39053,-0.02414
2016-05-05,2016-05-09,0,49.7,49.65,49.75,49.45,50.55,5669865,282217456,49.77498688,48.25366,48.20511,48.3022,48.01093,49.07892,5839812,48.32646,-0.00897
